sequence,case,engine,allocator,input_label,scope,owner_tag,observed_samples,denominator_samples,share_pct,overlap_note
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,librime_script_translation,0,3875,0.0,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,allocator_leaf,363,3875,9.368,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,system_compare_copy_leaf,1765,3875,45.548,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,whole_process,allocator_leaf_under_primary_owner,280,3875,7.226,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,yune_marisa_lookup,2131,3006,70.892,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,yune_sentence_model,735,3006,24.451,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,yune_abbreviation_sentence,82,3006,2.728,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,yune_sentence_word_graph,61,3006,2.029,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,yune_leading_single_syllable_prefix,438,3006,14.571,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,yune_filter_sort_hash,132,3006,4.391,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,librime_dictionary_table_query,0,3006,0.0,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,librime_table_query_access,0,3006,0.0,inclusive stack tags may overlap; do not sum shares
7,07-yune-default-zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,yune,default,59-char,RimeProcessKey,librime_syllabifier_prism,0,3006,0.0,inclusive stack tags may overlap; do not sum shares
