engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,9,11,11,20462700,33,18161600,20712,100,90,300,2800,89600,300,3300,90,0,0,1,347200,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,10,11,11,20691300,33,18439000,20712,100,90,100,3100,73700,400,2500,90,0,0,1,348400,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,11,11,11,20322500,33,18061600,20712,100,90,300,3400,73800,300,2700,90,0,0,1,357400,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,12,11,11,21842000,33,19384600,20712,100,90,900,5600,102200,200,2800,90,0,0,1,358000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,13,11,11,22663000,33,19553800,20712,100,90,1100,8800,135000,0,6400,90,0,0,1,385500,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,14,11,11,22917300,33,20472900,20712,100,90,1000,4500,103700,100,3100,90,0,0,1,354100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,15,11,11,21597300,33,18844500,20712,100,90,900,5700,113800,200,3800,90,0,0,1,359800,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,16,11,11,22224700,33,19652400,20712,100,90,800,5200,93100,400,5000,90,0,0,1,350700,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,17,11,11,22123500,33,19038000,20712,100,90,1200,7700,114800,400,6200,90,0,0,1,430000,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,18,11,11,21024300,33,18602800,20712,100,90,600,4800,94800,400,3700,90,0,0,1,354900,0,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,19,11,11,21318400,33,18968900,20712,100,90,600,4500,94800,200,3300,90,0,0,1,349100,0,1,200
